Species,alpha_D (log10),Emet (eV),#Temp (Met.Rate),p value (Met.Rate),Correlation coef. (r2),Vh (atm),Eo (eV),#Temp (Pcrit),p value (Pcrit),Correlation coefficient (r2),Phi_crit (histogram),Phi_crit (F1 score),Num. OBIS Occur.,FAS=MMR/RMR,Reference
    'Acanthephyra acutifrons',0.4796,0.0402,2,       NaN,1,0.0373,-0.0278,2,       NaN,1,2.006,2.325,68,       NaN,    'Cowles ea '91 MarBiol 110: 75-83'
    'Acanthephyra curtirostris',0.3777,0.0439,2,       NaN,1,0.0391,0.038,2,       NaN,1,1.7805,1.85,187,       NaN,    'Childress '75 CBP 50A: 787-799'
    'Acanthephyra purpurea',1.0357,0.8407,2,       NaN,1,0.0429,0.132,2,       NaN,1,3.1243,       NaN,987,       NaN,    'Donnelly & Torres '88 MarBiol 97: 483-494'
    'Acanthephyra smithi',1.0826,0.3132,3,0.1315,0.6057,0.0345,-0.0301,3,0.01,0.7823,1.6415,1.6,17,       NaN,    'Cowles ea '91 MarBiol 110: 75-83'
    'Acanthocyclops viridis',0.8963,0.1366,42,0,0.8438,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Laybourn-Parry & Tinson '85 Oecologia 65: 566-572'
    'Acipenser brevirostrum',       NaN,       NaN,0,       NaN,0,0.0452,0.3626,6,0.0125,0.5746,4.5135,       NaN,68,       NaN,"    'Campbell and Goodman, 2004'"
    'Actinia equina',0.7705,0.6793,4,0.0002,0.9989,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Ivleva '73 PArHybiol 20: 283-300'
    'Aequorea victoria',1.2763,1.0785,108,0,0.5113,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Larson '87 CBP 87A: 93-100'
    'Agapetus fuscipes',1.0788,0.2557,25,0,0.9904,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Castro '75 ArHybiol Suppl 45: 305-375'
    'Aglantha digitale',1.5149,1.609,23,0.0728,0.7899,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Ikeda & Skjoldal '89 MarBiol 100: 173-183'
    'Alitta succinea',0.1127,1.1779,2,       NaN,1,0.0071,0.6303,2,       NaN,1,       NaN,       NaN,12304,       NaN,"    'Sturdivant et al., 2015'"
    'Anax junius',1.1089,0.6803,161,0,0.7369,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Petitpren & Knight '70 JInsectPhys 16: 449-459'
    'Anguilla japonica',       NaN,       NaN,0,       NaN,0,0.1267,0.1266,2,       NaN,1,1.3225,1.229,1164,       NaN,"    'Chan, D. K., & Woo, N. Y. (1978). Effect of cortisol on the metabolism of the …'"
    'Anguilla rostrata',1.7178,0.9262,5,0.0036,0.999,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,8.043,"    'Holmberg, B., & Saunders, R. L. (1979). The effects of pentachlorophenol on sw…'"
    'Anthopleura elegantissima',1.522,1.4767,17,0,0.9228,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Fitt & Pardy '81 MarBiol 61: 199-205'
    'Apostichopus japonicus',-0.1096,0.4965,3,0.0148,0.9944,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Dong ea '06 Aquacult 255: 514-521'
    'Asellopsis intermedia',0.526,0.6258,4,0.0085,0.9179,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Lasker ea '70 JMBAssUK 50: 147-160'
    'Asellus aquaticus',0.8725,0.7011,276,0,0.8865,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Adcock '82 FreshwBiol 12'
    'Aurelia aurita',0.3262,0.322,324,0,0.8234,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Larson '87 CBP 87A: 93-100'
    'Balanus balanoides',1.0862,0.7856,6,0.0005,0.9862,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Barnes & Barnes '69 JEMBE 4: 36-50'
    'Balanus balanus',0.8379,0.8399,8,0,0.9807,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Barnes & Barnes '69 JEMBE 4: 36-50'
    'Balanus glandula',1.4773,0.2973,50,0,0.9433,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Wu & Levings '78 MarBiol 45: 225-235'
    'Barbus aeneus',1.8103,0.7243,4,0.0184,0.9608,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,"    'Clarke and Johnson, 1999'"
    'Bathyporeia pelagica',1.1759,0.8324,83,0,0.9119,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Fish & Preece '70 MarBiol 5: 22-28'
    'Bathyporeia pilosa',1.0966,0.879,93,0,0.8895,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Fish & Preece '70 MarBiol 5: 22-28'
    'Bellapiscis lesleyae',0.7207,0.7199,2,       NaN,1,0.0554,0.5264,2,       NaN,1,2.4725,2.4248,20,       NaN,"    'Hilton et al., 2008'"
    'Bellapiscis medius',0.7387,0.9886,2,       NaN,1,0.0229,0.6421,2,       NaN,1,5.482,5.1167,41,8.6032,"    'Hilton et al., 2008'"
    'Brachionus calyciflorus',0.6486,1.3174,10,0.0411,0.6409,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Leimeroth '80 Hybiol 73: 195-197'
    'Brachionus plicatilis',1.0041,0.379,35,0,0.7568,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Doohan '73 Oecologia 13: 351-362'
    'Bythograea thermydron',0.7017,0.563,3,0.0235,0.9987,0.0192,0.2441,3,0.0377,0.9797,       NaN,       NaN,100,       NaN,    'Mickel & Childress '82 PhysZool 55: 199-207'
    'Calanus minor',0.9668,1.2585,3,0.0902,0.998,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Ivleva '80 IRGHybiol 65: 1-47'
    'Calanus pacificus',1.4207,0.3163,126,0,0.5651,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Vidal '80 MarBiol 56: 195-202'
    'Callinectes sapidus',0.4036,1.0398,3,0.2445,0.9639,0.0302,0.4458,3,0.1219,0.839,2.9407,2.8719,51815,4.6,    'Batterton & Cameron '78 JExpZool 203: 403-418'
    'Calliopius laeviusculus',1.2987,0.6904,161,0,0.612,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Dagg '76 IRGHybiol 61: 297-352'
    'Cancer irroratus',       NaN,       NaN,0,       NaN,0,0.0285,0.6337,50,0,0.5489,3.9142,       NaN,1280,       NaN,"    'Vargo and Sastry, 1977; Depth: Haefner, P.A., 2007'"
    'Capitella capitata',0.0612,0.6474,26,0,0.8924,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Cammen '85 MEPS 21: 163-167'
    'Carassius carassius',0.0623,0.1572,3,0.138,0.5644,0.0247,-0.028,3,0.0142,0.7352,       NaN,       NaN,281,6.2748,    'Cammen '85 MEPS 21: 163-167'
    'Carcinus maenas',-0.0929,0.6134,3,0.0339,0.9935,0.0433,0.401,3,0.0906,0.903,4.1472,4.6147,27462,       NaN,    'Klein Breteler '75 JSR 9:  243-254'
    'Centropristis striata',0.8252,0.6248,5,0.0104,0.947,0.0426,0.2337,5,0.0006,0.8281,3.293,3.2682,11356,4.4412,"    'Slesinger et al, unpublished'"
    'Chaoborus trivittatus',1.7771,0.4529,10,0.0001,0.5198,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Giguère '80 LimnOc 25: 922-928'
    'Chelophyes appendiculata',0.5989,2.138,3,0.1489,0.9997,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Biggs '77 LimnOc 22: 108-117'
    'Chionoecetes bairdi',1.0985,1.7752,56,0,0.8984,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Paul & Fuji '89 JCrBiol 9: 25-36'
    'Chironomus anthracinus',0.8286,0.6211,262,0,0.876,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Hamburger ea '94 Hybiol 294: 43-50'
